time/fps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/loss,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/std,train/clip_range
3439,107.96090279139656,52,39.94,30,1679360,0.0001,40.26578140258789,0.9086893200874329,0.0036226448913415274,70.09276835123698,0.17317708333333334,1870,32.096920013427734,0.013221183,0.07999999076128006,0.2
3438,107.98439776092633,53,40.03,31,1681408,0.0001,42.84286880493164,0.8912630677223206,0.004241303540766239,101.54233741760254,0.203125,1871,32.096920013427734,0.016376436,0.07999999076128006,0.2
3439,108.12257450594167,54,40.13,32,1683456,0.0001,44.12806701660156,0.9079871773719788,0.004366232547909021,95.94249534606934,0.201171875,1872,32.096920013427734,0.01701354,0.07999999076128006,0.2
3438,108.0087653864394,55,40.09,32,1685504,0.0001,32.49559020996094,0.88355553150177,0.0087941350415349,83.17226867675781,0.20703125,1873,32.096920013427734,0.015481683,0.07999999076128006,0.2
3438,107.96082709528783,56,40.04,33,1687552,0.0001,31.973350524902344,0.9084693789482117,0.007855588011443615,78.24687957763672,0.18046875,1874,32.096920013427734,0.013533125,0.07999999076128006,0.2
3439,108.32443654616898,57,40.12,33,1689600,0.0001,24.377288818359375,0.923745334148407,-0.0023935741434494653,51.70130284627279,0.19791666666666666,1875,32.096920013427734,0.0155028375,0.07999999076128006,0.2
3440,109.05522826390492,58,40.36,34,1691648,0.0001,28.628704071044922,0.9208932518959045,0.023100243881344795,58.82749048868815,0.2708333333333333,1876,32.096920013427734,0.025398508,0.07999999076128006,0.2
3441,109.33459365627539,59,40.45,35,1693696,0.0001,23.85297203063965,0.9401041865348816,0.012279567619164785,50.19661204020182,0.22916666666666666,1877,32.096920013427734,0.01813674,0.07999999076128006,0.2
3442,109.44193936804446,60,40.47,35,1695744,0.0001,23.86985206604004,0.9264156222343445,0.015880897641181946,49.31512705485026,0.2734375,1878,32.096920013427734,0.025231913,0.07999999076128006,0.2
3442,109.92927662756969,61,40.64,36,1697792,0.0001,25.02886390686035,0.9461054801940918,0.010074637830257416,47.88799158732096,0.2721354166666667,1879,32.096920013427734,0.02728934,0.07999999076128006,0.2
