rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/learning_rate,train/clip_range,train/n_updates,train/entropy_loss,train/explained_variance,train/std
143.34,383.4915067069145,1257472,4652,102,44,0.0068913205759599805,86.25104522705078,0.20703125,154.47871780395508,0.016654888,0.0001,0.2,1637,32.096920013427734,0.9508171081542969,0.07999999076128006
143.59,384.5257487614361,1259520,4653,103,45,0.012351189895222584,79.28399658203125,0.15494791666666666,159.08940633138022,0.013397489,0.0001,0.2,1638,32.096920013427734,0.948939323425293,0.07999999076128006
141.93,380.3881576512689,1261568,4653,104,45,0.010962437372654676,116.84346008300781,0.220703125,207.154052734375,0.017257567,0.0001,0.2,1639,32.096920013427734,0.9090092182159424,0.07999999076128006
142.66,382.9133169205384,1263616,4654,105,46,0.01096403319388628,81.20348358154297,0.220703125,151.08116149902344,0.02128918,0.0001,0.2,1640,32.096920013427734,0.9646562933921814,0.07999999076128006
140.48,375.59804308743594,1265664,4655,106,46,0.01851817375669877,100.14933013916016,0.3294270833333333,233.1794179280599,0.04236646,0.0001,0.2,1641,32.096920013427734,0.9265004396438599,0.07999999076128006
140.66,375.69047585708927,1267712,4656,107,47,0.014021351933479309,87.19683837890625,0.234375,179.02503967285156,0.022110322,0.0001,0.2,1642,32.096920013427734,0.963767409324646,0.07999999076128006
139.41,370.7739837704478,1269760,4656,108,47,0.0033202231861650944,124.3432388305664,0.2451171875,219.20711517333984,0.01985931,0.0001,0.2,1643,32.096920013427734,0.9345137476921082,0.07999999076128006
138.08,365.85241303037384,1271808,4656,109,47,0.007643790449947119,124.07221984863281,0.1826171875,216.63392639160156,0.014223047,0.0001,0.2,1644,32.096920013427734,0.9533618092536926,0.07999999076128006
136.62,359.98215120411106,1273856,4657,110,48,0.014779258519411087,103.30448150634766,0.203125,227.69292831420898,0.018818768,0.0001,0.2,1645,32.096920013427734,0.9302564859390259,0.07999999076128006
138.06,363.4382895596646,1275904,4657,111,48,0.008336805459111928,90.05985260009766,0.26328125,204.39141235351562,0.022082372,0.0001,0.2,1646,32.096920013427734,0.9481021761894226,0.07999999076128006
136.73,359.17345776413634,1277952,4657,112,49,0.011713446350768209,106.00994110107422,0.24609375,183.1926040649414,0.023808485,0.0001,0.2,1647,32.096920013427734,0.9478070139884949,0.07999999076128006
136.71,357.77149963562914,1280000,4658,113,49,0.02148371678777039,106.65621185302734,0.2236328125,210.47734451293945,0.01775258,0.0001,0.2,1648,32.096920013427734,0.9469717741012573,0.07999999076128006
136.53,357.2587748141635,1282048,4658,114,50,0.006969757843762636,90.8578872680664,0.2001953125,178.39567184448242,0.015365966,0.0001,0.2,1649,32.096920013427734,0.9608504772186279,0.07999999076128006
136.46,356.6848958264001,1284096,4659,115,50,0.015200929716229439,88.28124237060547,0.15625,178.26008097330728,0.0128835775,0.0001,0.2,1650,32.096920013427734,0.9504378437995911,0.07999999076128006
136.01,355.46932987252956,1286144,4659,116,50,0.010348251089453697,108.8158187866211,0.20963541666666666,214.3421173095703,0.018412327,0.0001,0.2,1651,32.096920013427734,0.9479642510414124,0.07999999076128006
133.47,347.3120996104163,1288192,4660,117,51,0.009662348466614882,80.84127044677734,0.17708333333333334,172.3351796468099,0.01604974,0.0001,0.2,1652,32.096920013427734,0.9447305798530579,0.07999999076128006
