rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,time/total_timesteps,rollout/ep_len_mean,train/value_loss,train/learning_rate,train/clip_range,train/explained_variance,train/entropy_loss,train/loss,train/std,train/clip_fraction,train/approx_kl,train/policy_gradient_loss,train/n_updates
231.4702452721478,59,3904,113,755712,92.85,41.18611588478088,0.0003,0.2,0.9835513830184937,32.096920013427734,19.152006149291992,0.07999999076128006,0.78017578125,0.51910555,0.06148515674285591,1840
228.38499762067494,59,3904,114,757760,91.91,56.55266027450561,0.0003,0.2,0.9722825288772583,32.096920013427734,26.11445426940918,0.07999999076128006,0.691796875,0.20722689,0.01966914248187095,1845
230.60038688388616,60,3905,115,759808,92.9,59.4502293586731,0.0003,0.2,0.976353645324707,32.096920013427734,24.07237434387207,0.07999999076128006,0.67451171875,0.21702534,0.009242531703785061,1850
225.1571017116473,60,3905,116,761856,90.95,49.721966457366946,0.0003,0.2,0.9810901880264282,32.096920013427734,22.578529357910156,0.07999999076128006,0.712109375,0.37143344,0.022729780292138457,1855
231.23046804843705,61,3906,117,763904,92.83,63.58524408340454,0.0003,0.2,0.9713551998138428,32.096920013427734,26.91490936279297,0.07999999076128006,0.6919921875,0.21850635,0.023344736266881227,1860
235.7571970979494,61,3907,118,765952,94.44,36.53900237083435,0.0003,0.2,0.9847863912582397,32.096920013427734,18.0917911529541,0.07999999076128006,0.7734375,0.5672847,0.0578668667934835,1865
237.4275425619055,62,3907,119,768000,94.87,38.857570028305055,0.0003,0.2,0.9834108948707581,32.096920013427734,20.300392150878906,0.07999999076128006,0.70537109375,0.38918388,0.03029335755854845,1870
236.2487297965102,62,3908,120,770048,94.43,44.30527229309082,0.0003,0.2,0.9831803441047668,32.096920013427734,18.142215728759766,0.07999999076128006,0.75361328125,0.32945183,0.033971257146913555,1875
241.25697601556485,63,3908,121,772096,96.11,50.379925918579104,0.0003,0.2,0.9781115055084229,32.096920013427734,23.903854370117188,0.07999999076128006,0.70830078125,0.2916177,0.013326071633491665,1880
237.43579019505552,63,3909,122,774144,94.72,44.47340493202209,0.0003,0.2,0.9828553199768066,32.096920013427734,17.54517936706543,0.07999999076128006,0.73134765625,0.3343803,0.026952503563370554,1885
236.1634397155567,64,3909,123,776192,94.35,61.08177471160889,0.0003,0.2,0.9730014204978943,32.096920013427734,23.59132957458496,0.07999999076128006,0.71533203125,0.29900277,0.016707770805805922,1890
237.14194425648037,64,3910,124,778240,94.6,49.43241157531738,0.0003,0.2,0.9803687334060669,32.096920013427734,22.801977157592773,0.07999999076128006,0.75732421875,0.5756262,0.056699292158009486,1895
237.61774707682213,65,3911,125,780288,94.88,32.067611646652225,0.0003,0.2,0.9863877296447754,32.096920013427734,12.919190406799316,0.07999999076128006,0.823828125,2.9512415,0.11645431900396944,1900
235.26951699211324,65,3911,126,782336,93.96,29.83189821243286,0.0003,0.2,0.9856400489807129,32.096920013427734,11.31728458404541,0.07999999076128006,0.89482421875,4.2848406,0.2076124068815261,1905
229.17677673530866,66,3911,127,784384,91.54,27.0377459526062,0.0003,0.2,0.9866605401039124,32.096920013427734,10.4343900680542,0.07999999076128006,0.75126953125,1.1016607,0.07580644809640943,1910
224.55351843025045,67,3911,128,786432,89.62,29.64546489715576,0.0003,0.2,0.9796454906463623,32.096920013427734,9.920241355895996,0.07999999076128006,0.7861328125,1.1137532,0.07983422642573715,1915
214.58166148380147,67,3911,129,788480,85.76,18.39069366455078,0.0003,0.2,0.9920033812522888,32.096920013427734,8.102502822875977,0.07999999076128006,0.844921875,3.718595,0.14060075087472795,1920
202.56882039395094,68,3911,130,790528,81.28,17.278604674339295,0.0003,0.2,0.9875487089157104,32.096920013427734,7.1813201904296875,0.07999999076128006,0.79423828125,1.8638165,0.07935532735427842,1925
192.19781489731974,68,3912,131,792576,77.58,17.09042830467224,0.0003,0.2,0.9901970624923706,32.096920013427734,7.355952262878418,0.07999999076128006,0.8626953125,4.399122,0.16055677400436252,1930
190.1014339585334,69,3912,132,794624,76.76,29.92390670776367,0.0003,0.2,0.9850282669067383,32.096920013427734,13.839585304260254,0.07999999076128006,0.793359375,2.0449357,0.1041960799600929,1935
197.53884733247472,69,3913,133,796672,79.23,52.67483921051026,0.0003,0.2,0.9756045937538147,32.096920013427734,18.70513153076172,0.07999999076128006,0.83515625,0.97894347,0.1031199420336634,1940
204.76011910650533,70,3913,134,798720,81.85,48.18294744491577,0.0003,0.2,0.9792188405990601,32.096920013427734,23.502668380737305,0.07999999076128006,0.791015625,1.2237332,0.09222671180032194,1945
216.93542149306256,70,3913,135,800768,86.12,39.98368148803711,0.0003,0.2,0.9817299246788025,32.096920013427734,17.102842330932617,0.07999999076128006,0.832421875,4.8948154,0.14781512464396657,1950
221.09037040886523,71,3913,136,802816,87.73,72.27338514328002,0.0003,0.2,0.9692212343215942,32.096920013427734,32.565433502197266,0.07999999076128006,0.67490234375,0.23086652,0.00730593700427562,1955
219.79220865321844,71,3914,137,804864,87.42,56.92284736633301,0.0003,0.2,0.9755340814590454,32.096920013427734,26.6087589263916,0.07999999076128006,0.67607421875,0.3355265,0.01572718605166301,1960
226.5691516565465,72,3914,138,806912,89.74,64.57949104309083,0.0003,0.2,0.9726839661598206,32.096920013427734,26.1663761138916,0.07999999076128006,0.722265625,0.25494432,0.02058791087474674,1965
229.60802746811,72,3915,139,808960,90.89,133.43561420440673,0.0003,0.2,0.9526538252830505,32.096920013427734,52.036441802978516,0.07999999076128006,0.64697265625,0.15314862,-0.0019114256952889263,1970
233.98927822349467,73,3915,140,811008,92.63,62.926453590393066,0.0003,0.2,0.972393274307251,32.096920013427734,27.630277633666992,0.07999999076128006,0.68828125,0.39659634,0.01731683317339048,1975
239.8520899236034,73,3915,141,813056,94.79,82.06786670684815,0.0003,0.2,0.9707499742507935,32.096920013427734,41.46075439453125,0.07999999076128006,0.683984375,0.23401596,0.017066627065651117,1980
238.92360898863134,74,3916,142,815104,94.44,50.177189636230466,0.0003,0.2,0.9812316298484802,32.096920013427734,21.28009605407715,0.07999999076128006,0.7591796875,0.47917038,0.05323277348652482,1985
237.39956241814633,74,3916,143,817152,94.1,49.06967306137085,0.0003,0.2,0.97966068983078,32.096920013427734,21.02311897277832,0.07999999076128006,0.81083984375,1.5868499,0.10174557653954253,1990
230.602606305717,75,3917,144,819200,91.87,69.94544038772582,0.0003,0.2,0.9760764241218567,32.096920013427734,26.78180694580078,0.07999999076128006,0.7451171875,0.4686172,0.04602495131548494,1995
233.5349874970452,75,3917,145,821248,92.77,68.31791467666626,0.0003,0.2,0.9722927808761597,32.096920013427734,34.15789031982422,0.07999999076128006,0.70791015625,0.2841751,0.019628603174351156,2000
229.05765241351787,76,3918,146,823296,91.26,54.036959934234616,0.0003,0.2,0.9796147346496582,32.096920013427734,24.33628273010254,0.07999999076128006,0.7525390625,0.41335356,0.04072130357380956,2005
232.83823947613382,76,3918,147,825344,92.54,59.301479721069335,0.0003,0.2,0.9774780869483948,32.096920013427734,28.711570739746094,0.07999999076128006,0.72900390625,0.26330817,0.013064289349131286,2010
