time/time_elapsed,time/iterations,rollout/ep_len_mean,time/total_timesteps,time/fps,rollout/ep_rew_mean,train/explained_variance,train/entropy_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/clip_fraction,train/n_updates,train/approx_kl,train/loss
57,128,133.25,786432,4546,345.998152385449,0.8641058206558228,32.096920013427734,0.07999999076128006,0.01046360470354557,0.0003,392.54425048828125,0.2,0.234375,1407,0.023538634,188.7687530517578
58,129,131.4,788480,4548,338.88682968526956,0.8863533735275269,32.096920013427734,0.07999999076128006,0.006931043695658445,0.0003,334.41087341308594,0.2,0.28515625,1408,0.03374978,161.54356384277344
58,130,130.38,790528,4549,335.1109348217285,0.8848243951797485,32.096920013427734,0.07999999076128006,0.026059620082378387,0.0003,326.1861267089844,0.2,0.28515625,1409,0.048888832,158.39610290527344
58,131,129.45,792576,4550,332.4446108831246,0.8761427402496338,32.096920013427734,0.07999999076128006,0.028126927092671394,0.0003,336.16554260253906,0.2,0.322265625,1410,0.058331996,144.7550506591797
59,132,128.02,794624,4552,327.41554003538266,0.8815940618515015,32.096920013427734,0.07999999076128006,0.015059561468660831,0.0003,347.5688781738281,0.2,0.314453125,1411,0.053138394,155.41893005371094
59,133,128.02,796672,4553,326.48748933718093,0.8781982064247131,32.096920013427734,0.07999999076128006,0.03551154024899006,0.0003,384.0713348388672,0.2,0.291015625,1412,0.046499092,183.52122497558594
60,134,128.44,798720,4554,325.70422391008714,0.8153771162033081,32.096920013427734,0.07999999076128006,0.02225081343203783,0.0003,454.7714080810547,0.2,0.283203125,1413,0.03735132,216.3625946044922
60,135,128.02,800768,4555,324.0577011310317,0.9031667709350586,32.096920013427734,0.07999999076128006,0.02009252179414034,0.0003,269.90870666503906,0.2,0.310546875,1414,0.045457713,130.66253662109375
61,136,128.21,802816,4557,324.5572346238816,0.8879069089889526,32.096920013427734,0.07999999076128006,0.03464028611779213,0.0003,319.5744323730469,0.2,0.279296875,1415,0.036804922,168.06509399414062
61,137,127.55,804864,4558,320.66390771373517,0.8907423615455627,32.096920013427734,0.07999999076128006,0.03779911994934082,0.0003,336.8171691894531,0.2,0.302734375,1416,0.042027637,162.47816467285156
61,138,125.59,806912,4560,314.16400819559897,0.8772589564323425,32.096920013427734,0.07999999076128006,0.02060319483280182,0.0003,393.01991271972656,0.2,0.25,1417,0.027055312,192.2423858642578
