time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/iterations,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/clip_fraction,train/learning_rate,train/explained_variance
32,1953792,188.02309483454576,79.64,3694,58,0.01893336825411428,0.02827693,0.2,34.15296936035156,2019,32.096920013427734,95.7184892134233,0.07999999076128006,0.29048295454545453,0.0001,0.944206714630127
32,1955840,186.06623308944813,79.1,3694,59,0.00258920737542212,0.017720029,0.2,76.74227142333984,2020,32.096920013427734,144.1797752380371,0.07999999076128006,0.2197265625,0.0001,0.9397056698799133
33,1957888,183.72061167668818,78.11,3695,60,0.008951672818511724,0.012141831,0.2,39.13721466064453,2021,32.096920013427734,83.48498153686523,0.07999999076128006,0.15625,0.0001,0.9636968970298767
33,1959936,182.63627396047698,77.94,3696,61,0.009308984813590845,0.0152461035,0.2,31.895774841308594,2022,32.096920013427734,72.16575622558594,0.07999999076128006,0.20442708333333334,0.0001,0.9644500017166138
34,1961984,183.04007947357331,78.25,3697,62,0.016654006903991103,0.016338803,0.2,27.211685180664062,2023,32.096920013427734,65.67627716064453,0.07999999076128006,0.208984375,0.0001,0.9677906632423401
34,1964032,180.1606878784536,77.5,3698,63,0.009417070741099971,0.016359799,0.2,25.960948944091797,2024,32.096920013427734,59.21873474121094,0.07999999076128006,0.21540178571428573,0.0001,0.969675600528717
35,1966080,177.68423253074852,77.14,3699,64,0.012448574416339397,0.012363988,0.2,51.970035552978516,2025,32.096920013427734,94.48917388916016,0.07999999076128006,0.15625,0.0001,0.9493245482444763
35,1968128,173.63488422526135,76.2,3700,65,0.006712921895086765,0.01719025,0.2,21.841373443603516,2026,32.096920013427734,50.05717182159424,0.07999999076128006,0.2236328125,0.0001,0.9756344556808472
36,1970176,169.47038940222114,74.66,3701,66,0.013848913460969925,0.019631442,0.2,58.563514709472656,2027,32.096920013427734,70.78832092285157,0.07999999076128006,0.24453125,0.0001,0.9533445835113525
37,1972224,167.594805473901,73.98,3703,67,0.00917880330234766,0.024703821,0.2,79.43968963623047,2028,32.096920013427734,153.56231689453125,0.07999999076128006,0.220703125,0.0001,0.932445764541626
37,1974272,164.254514827898,72.76,3703,68,0.016935585997998714,0.01608359,0.2,22.84469985961914,2029,32.096920013427734,62.95477294921875,0.07999999076128006,0.197265625,0.0001,0.958444356918335
38,1976320,164.41216065552845,73.22,3704,69,0.017460239430268604,0.024960356,0.2,26.307334899902344,2030,32.096920013427734,77.30300903320312,0.07999999076128006,0.26171875,0.0001,0.9560531377792358
38,1978368,165.31055844580862,73.85,3705,70,0.022818563506007195,0.02098185,0.2,15.769255638122559,2031,32.096920013427734,30.048694610595703,0.07999999076128006,0.2822265625,0.0001,0.981497585773468
39,1980416,166.25062892956768,74.21,3705,71,0.018765129847452044,0.022010176,0.2,15.250027656555176,2032,32.096920013427734,33.450191020965576,0.07999999076128006,0.2646484375,0.0001,0.9803430438041687
39,1982464,166.82091377221036,74.22,3706,72,0.015498780955870947,0.026284127,0.2,13.860052108764648,2033,32.096920013427734,29.781317392985027,0.07999999076128006,0.3125,0.0001,0.9815836548805237
40,1984512,165.21940317678974,73.48,3706,73,0.01281405333429575,0.028811315,0.2,26.50562286376953,2034,32.096920013427734,68.93269220987956,0.07999999076128006,0.2942708333333333,0.0001,0.9619892835617065
40,1986560,165.1326953518462,73.53,3707,74,0.0007395818829536438,0.015059164,0.2,18.633981704711914,2035,32.096920013427734,63.25069999694824,0.07999999076128006,0.19921875,0.0001,0.9668246507644653
41,1988608,167.1293913076978,74.3,3708,75,0.016717559657990932,0.038974714,0.2,21.220199584960938,2036,32.096920013427734,55.364349365234375,0.07999999076128006,0.3359375,0.0001,0.9663803577423096
41,1990656,169.59153568437242,75.15,3708,76,0.02252349133292834,0.026121855,0.2,12.394659042358398,2037,32.096920013427734,26.468994140625,0.07999999076128006,0.26953125,0.0001,0.9879483580589294
42,1992704,174.96303518723576,77.22,3709,77,0.013022995553910732,0.01612171,0.2,14.555091857910156,2038,32.096920013427734,30.361485799153645,0.07999999076128006,0.20572916666666666,0.0001,0.9870025515556335
43,1994752,181.14661631121828,79.14,3709,78,0.01360819349065423,0.016563596,0.2,17.71196746826172,2039,32.096920013427734,38.616883277893066,0.07999999076128006,0.2294921875,0.0001,0.9820579886436462
43,1996800,184.60665992875445,80.09,3709,79,0.016190833353903145,0.021435555,0.2,13.650707244873047,2040,32.096920013427734,28.674407243728638,0.07999999076128006,0.28125,0.0001,0.9845690131187439
44,1998848,187.93941733167466,80.83,3709,80,0.026270119473338127,0.029696135,0.2,17.68377685546875,2041,32.096920013427734,35.547128677368164,0.07999999076128006,0.263671875,0.0001,0.9817337393760681
44,2000896,189.01186777532214,80.96,3710,81,0.0023931963369250298,0.025174968,0.2,20.860185623168945,2042,32.096920013427734,42.2886905670166,0.07999999076128006,0.2578125,0.0001,0.9747247695922852
45,2002944,188.7152124603855,80.89,3710,82,0.032398695747057595,0.038735583,0.2,21.040821075439453,2043,32.096920013427734,42.675437927246094,0.07999999076128006,0.35546875,0.0001,0.9773215055465698
45,2004992,188.09164474274033,80.56,3711,83,0.02029641717672348,0.023409374,0.2,11.118377685546875,2044,32.096920013427734,28.559254328409832,0.07999999076128006,0.2669270833333333,0.0001,0.9848681092262268
46,2007040,185.9546312968936,79.72,3710,84,0.009905479848384857,0.021584589,0.2,15.906147003173828,2045,32.096920013427734,31.529572010040283,0.07999999076128006,0.2509765625,0.0001,0.9815846681594849
46,2009088,184.768569806569,79.14,3711,85,0.015332087874412537,0.017182993,0.2,16.784671783447266,2046,32.096920013427734,34.55705897013346,0.07999999076128006,0.24088541666666666,0.0001,0.9811554551124573
47,2011136,182.36025590279613,78.19,3711,86,0.018740163495143253,0.02204186,0.2,16.753507614135742,2047,32.096920013427734,31.036509195963543,0.07999999076128006,0.2669270833333333,0.0001,0.9829637408256531
48,2013184,182.25252932223668,77.64,3711,87,-0.0025174456338087716,0.01493455,0.2,28.250883102416992,2048,32.096920013427734,97.90529251098633,0.07999999076128006,0.203125,0.0001,0.961216390132904
48,2015232,183.7719808648343,77.59,3711,88,0.020200132858008146,0.021817002,0.2,17.50372314453125,2049,32.096920013427734,35.698692321777344,0.07999999076128006,0.263671875,0.0001,0.9810472726821899
49,2017280,188.8068229689655,79.24,3710,89,0.025497807189822197,0.020452388,0.2,43.293601989746094,2050,32.096920013427734,88.89587020874023,0.07999999076128006,0.220703125,0.0001,0.9558064937591553
49,2019328,193.7056171180847,80.94,3710,90,0.01295052282512188,0.021517187,0.2,25.377548217773438,2051,32.096920013427734,49.95486068725586,0.07999999076128006,0.24348958333333334,0.0001,0.9734152555465698
50,2021376,195.81219995288095,81.9,3710,91,0.0012438731888930004,0.015934886,0.2,22.15180778503418,2052,32.096920013427734,49.96655782063802,0.07999999076128006,0.20963541666666666,0.0001,0.9760962724685669
50,2023424,197.8911878458267,83.16,3709,92,0.016807029023766518,0.01522933,0.2,31.614234924316406,2053,32.096920013427734,74.6214205423991,0.07999999076128006,0.20703125,0.0001,0.9506096243858337
51,2025472,194.47217776283452,82.15,3709,93,0.014818735828157514,0.02122638,0.2,33.346920013427734,2054,32.096920013427734,133.4631633758545,0.07999999076128006,0.220703125,0.0001,0.9441014528274536
51,2027520,192.0047706724783,81.25,3709,94,0.015411233063787222,0.015187361,0.2,98.7059097290039,2055,32.096920013427734,157.48788452148438,0.07999999076128006,0.19661458333333334,0.0001,0.9181030988693237
52,2029568,188.31200635384218,79.85,3708,95,0.01304159825667739,0.018706672,0.2,120.67192077636719,2056,32.096920013427734,272.0751037597656,0.07999999076128006,0.2216796875,0.0001,0.881646990776062
53,2031616,191.4840207430272,81.25,3708,96,0.008797813672572374,0.017401721,0.2,100.76438903808594,2057,32.096920013427734,276.17769622802734,0.07999999076128006,0.2021484375,0.0001,0.88011634349823
53,2033664,196.9981092352984,83.38,3707,97,0.005077459383755922,0.015273344,0.2,41.949668884277344,2058,32.096920013427734,82.22048950195312,0.07999999076128006,0.2080078125,0.0001,0.964765191078186
54,2035712,206.45375096628595,87.03,3706,98,0.009398038871586323,0.014447158,0.2,66.6810073852539,2059,32.096920013427734,130.3887680053711,0.07999999076128006,0.19296875,0.0001,0.9398211240768433
54,2037760,214.2982783293016,89.96,3705,99,0.003942076489329338,0.016193721,0.2,76.81993865966797,2060,32.096920013427734,147.43494262695313,0.07999999076128006,0.20625,0.0001,0.9198011159896851
55,2039808,212.6541959843497,88.86,3704,100,0.015933933202177286,0.013181543,0.2,47.89260482788086,2061,32.096920013427734,90.26558876037598,0.07999999076128006,0.1787109375,0.0001,0.9579872488975525
55,2041856,210.33910082108278,87.31,3704,101,0.013311007618904113,0.018787378,0.2,67.50077819824219,2062,32.096920013427734,197.9922332763672,0.07999999076128006,0.23359375,0.0001,0.9121804237365723
56,2043904,208.43135303534166,86.39,3703,102,0.00805792547762394,0.017038118,0.2,82.46269989013672,2063,32.096920013427734,188.4060485839844,0.07999999076128006,0.234375,0.0001,0.9240595102310181
56,2045952,204.64690530006877,84.82,3702,103,0.012401223182678223,0.019361883,0.2,43.90957260131836,2064,32.096920013427734,92.95824432373047,0.07999999076128006,0.23177083333333334,0.0001,0.9611382484436035
57,2048000,205.57960881403662,85.49,3702,104,0.01589075569063425,0.019903198,0.2,44.44485092163086,2065,32.096920013427734,85.99625778198242,0.07999999076128006,0.251953125,0.0001,0.9586987495422363
58,2050048,205.32586699927649,85.58,3701,105,0.004106352292001248,0.015659269,0.2,87.67847442626953,2066,32.096920013427734,145.23739776611328,0.07999999076128006,0.2078125,0.0001,0.9436472654342651
58,2052096,201.20424065933864,84.04,3700,106,0.012113616003521852,0.015556672,0.2,36.059791564941406,2067,32.096920013427734,73.97490692138672,0.07999999076128006,0.23158482142857142,0.0001,0.9688597321510315
59,2054144,200.59835199681766,83.92,3699,107,0.008352936711162329,0.017485663,0.2,28.587745666503906,2068,32.096920013427734,126.83273124694824,0.07999999076128006,0.20703125,0.0001,0.9495236873626709
59,2056192,201.1088795051493,84.1,3695,108,0.001169024733826518,0.019091912,0.2,64.75092315673828,2069,32.096920013427734,121.70764350891113,0.07999999076128006,0.2265625,0.0001,0.9577640295028687
