time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/fps,train/std,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/entropy_loss,train/loss,train/learning_rate
1175552,169,399.19761929731214,318,146.97,3847,0.45362168550491333,0.4626953125,-0.029691832885146142,0.060623,0.955790102481842,2865,0.2,58.228525972366334,-18.16065468788147,16.098997116088867,0.0003
1177600,169,399.6494434650631,319,147.13,3847,0.45387834310531616,0.32197265625,-0.027024954737862573,0.036755785,0.8633025884628296,2870,0.2,124.31504096984864,-18.183242654800416,71.69258117675781,0.0003
1179648,170,398.59157371750166,320,146.46,3847,0.4539070129394531,0.28935546875,-0.03336721165105701,0.034013517,0.9480041265487671,2875,0.2,87.64240617752075,-18.189396858215332,24.585533142089844,0.0003
1181696,170,397.2565373771742,321,145.82,3847,0.454071581363678,0.2208984375,-0.028245441790204495,0.028927257,0.7797564268112183,2880,0.2,120.45536284446716,-18.19722056388855,20.813167572021484,0.0003
1183744,171,398.56508997808646,322,146.39,3847,0.4543708562850952,0.2767578125,-0.028226900100708007,0.03342115,0.9187690615653992,2885,0.2,111.29942646026612,-18.211872005462645,26.328208923339844,0.0003
1185792,171,395.9222199121315,323,145.97,3847,0.4545036852359772,0.24833984375,-0.032958233496174216,0.021066207,0.9269178509712219,2890,0.2,166.28890209198,-18.225975608825685,95.89743041992188,0.0003
1187840,172,396.6376658723755,324,145.93,3847,0.4548178017139435,0.3033203125,-0.03377270132768899,0.04438574,0.9289456009864807,2895,0.2,73.34856309890748,-18.23787965774536,31.9306583404541,0.0003
1189888,172,396.09619659159495,325,145.76,3847,0.4550095796585083,0.22880859375,-0.03637385176552925,0.029406808,0.8334119319915771,2900,0.2,174.95945377349852,-18.256462478637694,73.15145874023438,0.0003
1191936,173,395.60369799918846,326,145.48,3848,0.45523810386657715,0.20302734375,-0.031252704188227655,0.02393902,0.9142745733261108,2905,0.2,136.25158367156982,-18.26843991279602,60.99322509765625,0.0003
1193984,174,392.73842719757783,327,144.87,3848,0.45520398020744324,0.29091796875,-0.033566949522355574,0.036350813,0.9422833323478699,2910,0.2,104.95131416320801,-18.27688694000244,46.79443359375,0.0003
1196032,174,390.79477756025483,328,144.34,3848,0.4552978575229645,0.24560546875,-0.030089110729750245,0.02437568,0.9110344052314758,2915,0.2,149.336576461792,-18.276126289367674,74.56212615966797,0.0003
1198080,175,389.8632320171412,329,143.83,3848,0.45542770624160767,0.234375,-0.032871165126562116,0.028273035,0.9443368911743164,2920,0.2,161.95620918273926,-18.283157920837404,71.99723052978516,0.0003
1200128,175,390.9224881563039,330,143.78,3848,0.45551812648773193,0.25166015625,-0.03368180451216176,0.027350174,0.9248074889183044,2925,0.2,168.87743682861327,-18.291913747787476,69.95906829833984,0.0003
1202176,176,392.234567748917,331,144.32,3849,0.4557224214076996,0.3337890625,-0.03706398289650679,0.07537574,0.9479529857635498,2930,0.2,61.31217126846313,-18.298124647140504,12.573440551757812,0.0003
1204224,176,391.18322028370807,332,144.1,3849,0.45590105652809143,0.3580078125,-0.03250052826479077,0.03946538,0.811145544052124,2935,0.2,120.98567924499511,-18.314109325408936,37.18623352050781,0.0003
1206272,177,392.8213590782896,333,144.8,3849,0.4561792016029358,0.25732421875,-0.035359896370209754,0.027349118,0.9612408876419067,2940,0.2,125.83651475906372,-18.326560163497923,68.78606414794922,0.0003
1208320,177,391.7125681682186,334,144.58,3849,0.45616433024406433,0.29951171875,-0.030829794669989495,0.027405754,0.9076065421104431,2945,0.2,89.53426294326782,-18.335841989517213,28.96944236755371,0.0003
